,source,target,oneway,lanes,bridge,frequency,highway,num of detections,width,osmid,geometry,ref,service,maxspeed,length,access,name,tunnel,log_date
257,4807661880,4807661879,False,,,0.3333333333333333,path,1,,488473717,,,,,8.647,,,,"03/11/2020, 19:57:46"
258,4807661880,4807661877,False,,,0.3333333333333333,"['steps', 'path']",1,,"[488473710, 488473711]","LINESTRING (2.6122799 39.559893, 2.6122007 39.5598387, 2.6121424 39.5598351)",,,,14.100000000000001,,,,"03/11/2020, 19:57:46"
259,4807661880,4807661884,False,,,0.3333333333333333,path,1,,488473717,"LINESTRING (2.6122799 39.559893, 2.612304 39.5598754, 2.6123684 39.5598056, 2.6124227 39.5597203, 2.6124824 39.5596681)",,,,30.675,,,,"03/11/2020, 19:57:46"
260,4807661879,4807661880,False,,,1.0,path,1,,488473717,,,,,8.647,,,,"03/11/2020, 19:57:46"
261,368249147,304661524,False,,,1.0,tertiary,1,,"[371203641, 374831343]","LINESTRING (2.625688 39.5630899, 2.6256397 39.562967, 2.6256285 39.5629384, 2.6255903 39.5628413)",,,50,28.884,,Avinguda de Joan Miró,,"03/11/2020, 19:57:46"
262,4807661884,4807661877,False,,,0.3333333333333333,path,1,,488473711,"LINESTRING (2.6124824 39.5596681, 2.6124234 39.5596965, 2.6123503 39.5597239, 2.6122497 39.5597637, 2.6121659 39.5597632, 2.612137 39.5597849, 2.6121424 39.5598351)",,,,38.867000000000004,,,,"03/11/2020, 19:57:46"
263,4807661884,4807661880,False,,,0.3333333333333333,path,1,,488473717,"LINESTRING (2.6124824 39.5596681, 2.6124227 39.5597203, 2.6123684 39.5598056, 2.612304 39.5598754, 2.6122799 39.559893)",,,,30.675,,,,"03/11/2020, 19:57:46"
264,4807661884,4807661893,False,,,0.3333333333333333,path,1,,488473717,"LINESTRING (2.6124824 39.5596681, 2.6125602 39.5596221, 2.6126225 39.5596143, 2.6127063 39.5596557, 2.6127915 39.5597017, 2.6128847 39.559771, 2.6129799 39.5598351, 2.613167 39.5599912, 2.6133051 39.5601344, 2.6134017 39.5602455)",,,,111.55000000000001,,,,"03/11/2020, 19:57:46"
265,317813053,4807660720,False,,,0.3333333333333333,track,1,,216998780,,,,,6.768,,,,"03/11/2020, 19:57:46"
266,317813053,317813046,False,,,0.3333333333333333,track,1,,108910151,"LINESTRING (2.6198734 39.5671271, 2.6198659 39.5670801, 2.6198691 39.5670359, 2.619851 39.5669821)",,,,16.368,no,,,"03/11/2020, 19:57:46"
267,317813053,317813066,False,,,0.3333333333333333,track,1,,108910151,"LINESTRING (2.6198734 39.5671271, 2.6200224 39.5672234, 2.6201186 39.5672519, 2.6201699 39.5672137, 2.6202502 39.5672361)",,,,38.935,no,,,"03/11/2020, 19:57:46"
